0.068 -1.11338 0.567269 0.023442 -1.48567 0.781526 3.22821 -2.16139 -0.34 0.176797 0.292336 0.061946 -0.0844786 -0.0114695 -0.127528 
0.069 -1.11372 0.567447 0.0237365 -1.4856 0.781441 3.2282 -2.16152 -0.345 0.179397 0.296635 0.062857 -0.0857209 -0.0116382 -0.129403 
0.07 -1.11407 0.567628 0.0240352 -1.48554 0.781354 3.22818 -2.16165 -0.35 0.181997 0.300934 0.063768 -0.0869633 -0.0118069 -0.131279 
0.071 -1.11442 0.567811 0.0243383 -1.48548 0.781267 3.22817 -2.16178 -0.355 0.184597 0.305233 0.0646789 -0.0882056 -0.0119755 -0.133154 
0.072 -1.11478 0.567997 0.0246457 -1.48541 0.781178 3.22816 -2.16192 -0.36 0.187197 0.309532 0.0655899 -0.0894479 -0.0121442 -0.135029 
0.073 -1.11514 0.568185 0.0249574 -1.48535 0.781088 3.22815 -2.16205 -0.365 0.189797 0.313832 0.0665009 -0.0906903 -0.0123129 -0.136905 
0.074 -1.11551 0.568376 0.0252734 -1.48528 0.780997 3.22814 -2.16219 -0.37 0.192397 0.318131 0.0674119 -0.0919326 -0.0124815 -0.13878 
0.075 -1.11588 0.56857 0.0255937 -1.48521 0.780904 3.22812 -2.16233 -0.375 0.194997 0.32243 0.0683228 -0.0931749 -0.0126502 -0.140656 
0.076 -1.11626 0.568766 0.0259182 -1.48514 0.78081 3.22811 -2.16247 -0.38 0.197597 0.326729 0.0692338 -0.0944172 -0.0128189 -0.142531 
0.077 -1.11664 0.568965 0.0262471 -1.48507 0.780715 3.2281 -2.16262 -0.385 0.200197 0.331028 0.0701448 -0.0956596 -0.0129876 -0.144407 
0.078 -1.11703 0.569167 0.0265803 -1.485 0.780619 3.22808 -2.16276 -0.39 0.202797 0.335327 0.0710557 -0.0969019 -0.0131562 -0.146282 
0.079 -1.11742 0.569371 0.0269178 -1.48493 0.780521 3.22807 -2.16291 -0.395 0.205397 0.339626 0.0719667 -0.0981442 -0.0133249 -0.148157 
0.08 -1.11782 0.569577 0.0272595 -1.48486 0.780423 3.22806 -2.16306 -0.4 0.207997 0.343925 0.0728777 -0.0993866 -0.0134936 -0.150033 
0.081 -1.11822 0.569787 0.0276056 -1.48478 0.780323 3.22804 -2.16321 -0.405 0.210597 0.348224 0.0737887 -0.100629 -0.0136622 -0.151908 
0.082 -1.11863 0.569999 0.027956 -1.48471 0.780221 3.22803 -2.16336 -0.41 0.213197 0.352523 0.0746996 -0.101871 -0.0138309 -0.153784 
0.083 -1.11904 0.570213 0.0283107 -1.48463 0.780119 3.22802 -2.16352 -0.415 0.215797 0.356822 0.0756106 -0.103114 -0.0139996 -0.155659 
0.084 -1.11946 0.57043 0.0286696 -1.48456 0.780015 3.228 -2.16367 -0.42 0.218397 0.361121 0.0765216 -0.104356 -0.0141682 -0.157534 
0.085 -1.11988 0.57065 0.0290329 -1.48448 0.77991 3.22799 -2.16383 -0.425 0.220997 0.36542 0.0774325 -0.105598 -0.0143369 -0.15941 
0.086 -1.12031 0.570872 0.0294005 -1.4844 0.779804 3.22797 -2.16399 -0.43 0.223597 0.369719 0.0783435 -0.106841 -0.0145056 -0.161285 
0.087 -1.12074 0.571097 0.0297723 -1.48432 0.779697 3.22796 -2.16415 -0.435 0.226197 0.374018 0.0792545 -0.108083 -0.0146743 -0.163161 
0.088 -1.12118 0.571325 0.0301485 -1.48425 0.779588 3.22794 -2.16432 -0.44 0.228797 0.378317 0.0801655 -0.109325 -0.0148429 -0.165036 
0.089 -1.12162 0.571555 0.030529 -1.48416 0.779478 3.22793 -2.16448 -0.445 0.231397 0.382617 0.0810764 -0.110568 -0.0150116 -0.166911 
0.09 -1.12207 0.571787 0.0309137 -1.48408 0.779367 3.22791 -2.16465 -0.45 0.233997 0.386916 0.0819874 -0.11181 -0.0151803 -0.168787 
0.091 -1.12252 0.572023 0.0313028 -1.484 0.779254 3.2279 -2.16482 -0.455 0.236597 0.391215 0.0828984 -0.113052 -0.0153489 -0.170662 
